Date,Time,Task Before Break,Task Difficulty,Planned Break (min),Break Trigger,Break Activity,Actual Break (min),Returned on Time?,Feeling After Break,Note,
2025-12-23,1:00 pm,Crafting Data Science project,Low,2,CR Emergencies,Bathroom/Water,1,Yes,Neutral,,
2025-12-23,5:40 pm,Data Science,Low,30,Boredom,Phone (short-form),48,No,More distracted,,
2025-12-24,1:00 am,Thesis,High,60,Task anxiety,Lying down,500+,No,Neutral,,
2026-01-09,1:21 pm,Thesis,High,35,Task anxiety,Watch,30,Yes,More focused,,
2026-01-09,2:33 pm,Thesis,High,30,Mental fatigue,Watch,65,No,More tired,was feeling tired and sleepy,
2026-01-09,4:10 pm,Thesis,High,20,Mental fatigue,Watch,45,No,More distracted,,
2026-01-09,5:05 pm,Thesis,High,10,Habit / autopilot,Phone (short-form),18,No,Neutral,,
2026-01-09,7:25 pm,Thesis,Medium,10,Hunger,Eating,7,No,More focused,,
2026-01-09,8:14 pm,Thesis,Medium,30,Mental fatigue,Watch,180,No,More distracted,also had team meeting,
2026-01-10,1:20 am,Thesis,Medium,60,Task anxiety,Lying down,500+,No,Neutral,"slept last night, then ran errands the whole day",
2026-01-10,3:15 pm,Thesis,Medium,15,Hunger,Eating,12,Yes,More focused,,
2026-01-10,8:40 pm,Thesis,High,25,Boredom,Phone (short-form),60,No,More distracted,,
2026-01-10,11:41 pm,Thesis,High,10,CR Emergencies,Bathroom/Water,11,No,More distracted,"cr break, but was too drawn on social media",
2026-01-11,3:30 pm,Thesis,High,30,Boredom,Eating,105,No,More focused,,
2026-01-11,7:00 pm,Thesis,High,15,Habit / autopilot,Watch,30,No,More tired,,
2026-01-12,12:28 am,Thesis,High,60,Task anxiety,Lying down,500+,No,Neutral,slept last night,
2026-01-12,11:00 am,Thesis,High,10,Task anxiety,Messaging/E-mail,500+,No,Neutral,,
2026-01-13,7:00 pm,Thesis,High,60,Mental fatigue,Watch,120,No,More distracted,,
2026-01-14,3:10 am,Thesis,High,60,Headache,Lying down,500+,No,Neutral,slept,
2026-01-14,11:00 am,Thesis,High,120,Boredom,Lying down,180,No,More focused,slept,
2026-01-14,2:20 pm,Thesis,High,20,Mental fatigue,Eating,15,Yes,More focused,,
2026-01-14,10:54 pm,Thesis,High,10,Habit / autopilot,Phone (short-form),15,No,More distracted,,
2026-01-15,12:15 pm,Thesis,High,10,Habit / autopilot,Lying down,3,Yes,More focused,,
2026-01-16,1:00 pm,Thesis,High,30,Task anxiety,Lying down,120,No,More tired,,
2026-01-18,9:45 pm,Thesis,Medium,10,Boredom,Phone (short-form),20,No,Neutral,,
2026-01-22,1:15 pm,Thesis,Medium,5,Habit / autopilot,Phone (short-form),7,No,Neutral,,
2026-01-24,9:00 pm,Thesis,Low,10,Habit / autopilot,Phone (short-form),180,No,More distracted,,
2026-01-24,11:03 pm,Thesis,Low,10,Boredom,Phone (short-form),120,No,More tired,,
2026-01-25,1:00 am,Thesis,Low,15,Hunger,Eating,20,No,More focused,,
2026-01-25,2:11 pm,DS project,High,60,Task anxiety,Watch,500+,No,Neutral,slept last night,
2026-01-27,7:30 pm,Thesis,High,30,Hunger,Eating,25,Yes,More distracted,,
2026-01-27,8:02 pm,Thesis,High,10,Habit / autopilot,Eating,8,Yes,Neutral,,
2026-01-28,12:50 am,Thesis,High,15,Task anxiety,Phone (short-form),500+,No,More distracted,slept last night,
2026-01-31,2:25 am,Thesis,High,5,Boredom,Phone (short-form),7,No,More focused,,
2026-01-31,2:40 am,Thesis,High,3,Hunger,Eating,5,No,Neutral,,
2026-01-31,6:05 am,Thesis,High,60,Task anxiety,Lying down,240,No,More tired,,
2026-01-31,4:29 pm,Thesis,High,10,CR Emergencies,Bathroom/Water,19,No,Neutral,,
2026-02-01,10:36 am,Thesis,Low,30,Boredom,Other,22,Yes,Neutral,,
2026-02-01,10:00 pm,Thesis,Low,10,Boredom,Phone (short-form),30,No,More distracted,,
2026-02-02,1:00 am,Thesis,Low,30,Boredom,Lying down,60,No,Neutral,,
2026-02-02,12:05 pm,Thesis,Low,15,Hunger,Eating,78,No,Neutral,,
2026-02-03,10:00 am,Thesis,Medium,30,Phone notification,Messaging/E-mail,20,Yes,More distracted,,
2026-02-03,11:00 pm,Thesis,High,60,Hunger,Eating,120,No,Neutral,,
2026-02-04,2:08 pm,Thesis,Medium,15,Boredom,Other,39,No,More tired,,
2026-02-06,6:00 am,Thesis,High,10,Phone notification,Messaging/E-mail,8,Yes,More focused,,
2026-02-09,2:55 am,Thesis,High,60,Mental fatigue,Lying down,55,Yes,More distracted,,
2026-02-09,6:13 pm,Thesis,High,30,Task anxiety,Watch,40,No,More tired,,
2026-02-11,10:07 pm,Thesis,High,30,Hunger,Eating,42,No,More focused,,
2026-02-13,6:00 pm,Data Science paper,High,10,Task anxiety,Phone (short-form),120,No,More focused,,
2026-02-13,9:16pm,Data Science paper,High,15,Hunger,Eating,10,Yes,More focused,,
2026-02-13,10:58 pm,Data Science code,High,30,Mental fatigue,Phone (short-form),17,Yes,More focused,,
2026-02-13,11:54 pm,Data Science code,High,15,Mental fatigue,Watch,9,Yes,More focused,,
2026-02-14,12:10 am,Data Science plan,High,5,Phone notification,Messaging/E-mail,40,No,More distracted,,
2026-02-14,3:20 am,Data Science plan,High,10,CR Emergencies,Bathroom/Water,11,No,More focused,,
2026-02-14,4:30 pm,Data Science code,High,10,Phone notification,Messaging/E-mail,9,Yes,More focused,,
2026-02-14,5:00 pm,Data Science code,High,5,Hunger,Eating,39,No,More distracted,,
2026-02-14,6:58 pm,Data Science code,High,30,Mental fatigue,Lying down,120,No,More tired,,
2026-02-14,9:55 pm,Data Science code,High,30,Mental fatigue,Bathroom/Water,25,Yes,Neutral,,
2026-02-15,12:05 am,Data Science code,High,10,Phone notification,Messaging/E-mail,25,No,Neutral,,
2026-02-15,2:26 am,Data Science paper,Medium,60,Headache,Lying down,52,Yes,Neutral,,
2026-02-15,1:50 pm,Data Science paper,Medium,10,CR Emergencies,Bathroom/Water,12,No,More focused,,
2026-02-15,5:44 pm,Data Science code,High,5,Mental fatigue,Lying down,5,Yes,More focused,,
